报告编号,报告类型,被审计单位,审计意见,关键结论描述,数据引用1,数据引用2,风险提示是否充分,建议与结论匹配度
AR202501,年度审计报告,公司_1,无保留意见,应收账款余额较上年增长30%，主要由于客户回款延迟,收入确认凭证,客户合同台账,否,不匹配
AR202502,年度审计报告,公司_2,无保留意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,增值税申报表,应收账款明细表,否,匹配
AR202503,并购审计报告,公司_3,无法表示意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,投资协议扫描件,投资协议扫描件,是,匹配
AR202504,并购审计报告,公司_4,无法表示意见,目标公司收入真实性存疑，但通过函证和穿行测试确认其合理性,减值测试报告,增值税申报表,是,匹配
AR202505,专项审计报告,公司_5,无保留意见,无法核实某笔大额投资的真实性,银行流水,投资协议扫描件,否,不匹配
AR202506,年度审计报告,公司_6,无法表示意见,无法核实某笔大额投资的真实性,函证回函,存货计价政策文档,否,不匹配
AR202507,并购审计报告,公司_7,无法表示意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,存货计价政策文档,收入确认凭证,是,匹配
AR202508,并购审计报告,公司_8,无法表示意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,应收账款明细表,增值税申报表,是,匹配
AR202509,税务审计报告,公司_9,保留意见,存货跌价准备计提比例调整，符合会计准则要求,印花税税目表,银行流水,否,匹配
AR202510,税务审计报告,公司_10,保留意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,投资协议扫描件,存货计价政策文档,是,匹配
AR202511,税务审计报告,公司_11,否定意见,目标公司收入真实性存疑，但通过函证和穿行测试确认其合理性,印花税税目表,存货计价政策文档,是,不匹配
AR202512,专项审计报告,公司_12,保留意见,应收账款余额较上年增长30%，主要由于客户回款延迟,存货计价政策文档,印花税税目表,是,匹配
AR202513,税务审计报告,公司_13,保留意见,应收账款余额较上年增长30%，主要由于客户回款延迟,增值税申报表,印花税税目表,否,匹配
AR202514,税务审计报告,公司_14,否定意见,目标公司收入真实性存疑，但通过函证和穿行测试确认其合理性,银行流水,银行流水,是,不匹配
AR202515,税务审计报告,公司_15,保留意见,应收账款余额较上年增长30%，主要由于客户回款延迟,银行流水,投资协议扫描件,否,不匹配
AR202516,并购审计报告,公司_16,保留意见,存货跌价准备计提比例调整，符合会计准则要求,函证回函,函证回函,否,不匹配
AR202517,年度审计报告,公司_17,无保留意见,存货跌价准备计提比例调整，符合会计准则要求,收入确认凭证,银行流水,是,匹配
AR202518,并购审计报告,公司_18,无法表示意见,目标公司收入真实性存疑，但通过函证和穿行测试确认其合理性,银行流水,印花税税目表,否,不匹配
